"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1","2019/20","E23000036","Avon and Somerset","South West","Female","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"2","2019/20","E23000036","Avon and Somerset","South West","Female","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"3","2019/20","E23000036","Avon and Somerset","South West","Female","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"4","2019/20","E23000036","Avon and Somerset","South West","Female","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"5","2019/20","E23000036","Avon and Somerset","South West","Female","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"6","2019/20","E23000036","Avon and Somerset","South West","Male","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"7","2019/20","E23000036","Avon and Somerset","South West","Male","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"8","2019/20","E23000036","Avon and Somerset","South West","Male","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 30 "
"9","2019/20","E23000036","Avon and Somerset","South West","Male","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"10","2019/20","E23000036","Avon and Somerset","South West","Male","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"11","2019/20","E23000026","Bedfordshire","Eastern","Female","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"12","2019/20","E23000026","Bedfordshire","Eastern","Female","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"13","2019/20","E23000026","Bedfordshire","Eastern","Female","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"14","2019/20","E23000026","Bedfordshire","Eastern","Female","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"15","2019/20","E23000026","Bedfordshire","Eastern","Female","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"16","2019/20","E23000026","Bedfordshire","Eastern","Male","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"17","2019/20","E23000026","Bedfordshire","Eastern","Male","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 6 "
"18","2019/20","E23000026","Bedfordshire","Eastern","Male","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 50 "
"19","2019/20","E23000026","Bedfordshire","Eastern","Male","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"20","2019/20","E23000026","Bedfordshire","Eastern","Male","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"21","2019/20","E23000023","Cambridgeshire","Eastern","Female","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"22","2019/20","E23000023","Cambridgeshire","Eastern","Female","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"23","2019/20","E23000023","Cambridgeshire","Eastern","Female","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"24","2019/20","E23000023","Cambridgeshire","Eastern","Female","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"25","2019/20","E23000023","Cambridgeshire","Eastern","Female","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"26","2019/20","E23000023","Cambridgeshire","Eastern","Male","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"27","2019/20","E23000023","Cambridgeshire","Eastern","Male","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"28","2019/20","E23000023","Cambridgeshire","Eastern","Male","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 24 "
"29","2019/20","E23000023","Cambridgeshire","Eastern","Male","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"30","2019/20","E23000023","Cambridgeshire","Eastern","Male","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"31","2019/20","E23000006","Cheshire","North West","Female","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"32","2019/20","E23000006","Cheshire","North West","Female","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"33","2019/20","E23000006","Cheshire","North West","Female","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"34","2019/20","E23000006","Cheshire","North West","Female","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"35","2019/20","E23000006","Cheshire","North West","Female","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"36","2019/20","E23000006","Cheshire","North West","Male","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"37","2019/20","E23000006","Cheshire","North West","Male","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"38","2019/20","E23000006","Cheshire","North West","Male","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"39","2019/20","E23000006","Cheshire","North West","Male","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"40","2019/20","E23000006","Cheshire","North West","Male","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"41","2019/20","E23000013","Cleveland","North East","Female","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"42","2019/20","E23000013","Cleveland","North East","Female","2019/20 onwards - Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"43","2019/20","E23000013","Cleveland","North East","Female","2019/20 onwards - Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"44","2019/20","E23000013","Cleveland","North East","Female","2019/20 onwards - Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"45","2019/20","E23000013","Cleveland","North East","Female","2019/20 onwards - Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"46","2019/20","E23000013","Cleveland","North East","Male","2019/20 onwards - Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
