"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"431","2016/17","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"432","2016/17","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"433","2016/17","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"434","2016/17","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"435","2016/17","E23000036","Avon and Somerset","South West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"436","2016/17","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"437","2016/17","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 5 "
"438","2016/17","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 26 "
"439","2016/17","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"440","2016/17","E23000036","Avon and Somerset","South West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"441","2016/17","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"442","2016/17","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"443","2016/17","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"444","2016/17","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"445","2016/17","E23000026","Bedfordshire","Eastern","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"446","2016/17","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"447","2016/17","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"448","2016/17","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 68 "
"449","2016/17","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"450","2016/17","E23000026","Bedfordshire","Eastern","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"451","2016/17","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"452","2016/17","E23000023","Cambridgeshire","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
