"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"431","2016/17","E23000036","Avon and Somerset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"432","2016/17","E23000036","Avon and Somerset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"433","2016/17","E23000036","Avon and Somerset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"434","2016/17","E23000036","Avon and Somerset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"435","2016/17","E23000036","Avon and Somerset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"436","2016/17","E23000036","Avon and Somerset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"437","2016/17","E23000036","Avon and Somerset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"438","2016/17","E23000036","Avon and Somerset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 56 "
"439","2016/17","E23000036","Avon and Somerset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"440","2016/17","E23000036","Avon and Somerset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"441","2016/17","E23000026","Bedfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"442","2016/17","E23000026","Bedfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"443","2016/17","E23000026","Bedfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 3 "
"444","2016/17","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"445","2016/17","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"446","2016/17","E23000026","Bedfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"447","2016/17","E23000026","Bedfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"448","2016/17","E23000026","Bedfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 41 "
"449","2016/17","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"450","2016/17","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"451","2016/17","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"452","2016/17","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"453","2016/17","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"454","2016/17","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"455","2016/17","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"456","2016/17","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"457","2016/17","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 4 "
"458","2016/17","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 33 "
"459","2016/17","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"460","2016/17","E23000023","Cambridgeshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"461","2016/17","E23000006","Cheshire","North West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"462","2016/17","E23000006","Cheshire","North West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"463","2016/17","E23000006","Cheshire","North West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"464","2016/17","E23000006","Cheshire","North West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
