"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1291","2018/19","E23000036","Avon and Somerset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1292","2018/19","E23000036","Avon and Somerset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1293","2018/19","E23000036","Avon and Somerset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1294","2018/19","E23000036","Avon and Somerset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1295","2018/19","E23000036","Avon and Somerset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1296","2018/19","E23000036","Avon and Somerset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 4 "
"1297","2018/19","E23000036","Avon and Somerset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 6 "
"1298","2018/19","E23000036","Avon and Somerset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 32 "
"1299","2018/19","E23000036","Avon and Somerset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1300","2018/19","E23000036","Avon and Somerset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1301","2018/19","E23000026","Bedfordshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1302","2018/19","E23000026","Bedfordshire","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1303","2018/19","E23000026","Bedfordshire","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1304","2018/19","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1305","2018/19","E23000026","Bedfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1306","2018/19","E23000026","Bedfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 3 "
"1307","2018/19","E23000026","Bedfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"1308","2018/19","E23000026","Bedfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 23 "
"1309","2018/19","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1310","2018/19","E23000026","Bedfordshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1311","2018/19","E23000023","Cambridgeshire","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
