"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"861","2017/18","E23000036","Avon and Somerset","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"862","2017/18","E23000036","Avon and Somerset","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 4 "
"863","2017/18","E23000036","Avon and Somerset","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"864","2017/18","E23000036","Avon and Somerset","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"865","2017/18","E23000036","Avon and Somerset","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"866","2017/18","E23000036","Avon and Somerset","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 36 "
"867","2017/18","E23000036","Avon and Somerset","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 59 "
"868","2017/18","E23000036","Avon and Somerset","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 476 "
"869","2017/18","E23000036","Avon and Somerset","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"870","2017/18","E23000036","Avon and Somerset","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"871","2017/18","E23000026","Bedfordshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"872","2017/18","E23000026","Bedfordshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"873","2017/18","E23000026","Bedfordshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 3 "
"874","2017/18","E23000026","Bedfordshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"875","2017/18","E23000026","Bedfordshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"876","2017/18","E23000026","Bedfordshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 26 "
"877","2017/18","E23000026","Bedfordshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 18 "
"878","2017/18","E23000026","Bedfordshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 256 "
"879","2017/18","E23000026","Bedfordshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"880","2017/18","E23000026","Bedfordshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," 1 "
"881","2017/18","E23000023","Cambridgeshire","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"882","2017/18","E23000023","Cambridgeshire","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"883","2017/18","E23000023","Cambridgeshire","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"884","2017/18","E23000023","Cambridgeshire","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"885","2017/18","E23000023","Cambridgeshire","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"886","2017/18","E23000023","Cambridgeshire","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 42 "
"887","2017/18","E23000023","Cambridgeshire","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 50 "
"888","2017/18","E23000023","Cambridgeshire","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 435 "
"889","2017/18","E23000023","Cambridgeshire","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"890","2017/18","E23000023","Cambridgeshire","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"891","2017/18","E23000006","Cheshire","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
